,PSNR_before,PSNR_after,SSIM_before,SSIM_after,m00,m01,m02,m10,m11,m12,a,b,sigma,iso,gt_out,gt_out_ccm,deg_out,deg_out_ccm,deg_out_cfa,loss,bad
0,36.8293144645,36.8293144645,0.918922277859,0.918922277859,1.0,0.0,-0.0,0.0,1.0,-0.0,0.000228703,0.93197,0.00314457,200.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=8aec88ba6322e5d4b8774e972fa83cb9c131abc5.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=8aec88ba6322e5d4b8774e972fa83cb9c131abc5.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=8aec88ba6322e5d4b8774e972fa83cb9c131abc5.raf_cfa.npy,0.0015518699074164033,False
1,36.3783350262,37.0258043241,0.912030116393,0.922222365546,1.0,0.0,-0.0,0.0,1.0,-0.10000000149,0.000825023,0.974879,0.00452596,640.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO640_sha1=9f7cec2b5a0105f0b3aabfe7269562a46ba8e959.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO640_sha1=9f7cec2b5a0105f0b3aabfe7269562a46ba8e959.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO640_sha1=9f7cec2b5a0105f0b3aabfe7269562a46ba8e959.raf_cfa.npy,0.0012915359111502767,False
2,36.358099261,37.0737866047,0.913127060557,0.924156005205,1.0,0.0,-0.0,0.0,1.0,-0.10000000149,0.000541448,0.988194,0.0052698,800.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO800_sha1=88bced613dbcf44e9a0eb56dd2f3526c265a78ea.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO800_sha1=88bced613dbcf44e9a0eb56dd2f3526c265a78ea.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO800_sha1=88bced613dbcf44e9a0eb56dd2f3526c265a78ea.raf_cfa.npy,0.0013574989279732108,False
3,36.5552783333,37.970207683,0.909789764518,0.93192028207,1.0,0.0,-0.0,0.0,1.0,-0.20000000298,0.000837288,0.844117,0.00665512,2500.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO2500_sha1=6db8edd294ea30e8769928386fa5f51e96c73941.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO2500_sha1=6db8edd294ea30e8769928386fa5f51e96c73941.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO2500_sha1=6db8edd294ea30e8769928386fa5f51e96c73941.raf_cfa.npy,0.0035350320395082235,True
4,38.6626117573,39.2064063034,0.929127269332,0.936199335107,1.0,0.0,-0.0,0.0,1.0,-0.10000000149,0.000444141,0.53143,0.00446953,4000.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO4000_sha1=388984a2d34a379fd509a09162ea5fa02c32010d.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO4000_sha1=388984a2d34a379fd509a09162ea5fa02c32010d.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO4000_sha1=388984a2d34a379fd509a09162ea5fa02c32010d.raf_cfa.npy,0.00986927654594183,True
5,43.515790825,45.360326353,0.963705036318,0.976259629717,1.0,0.0,-0.20000000298,0.0,1.0,-0.300000011921,0.000104456,0.108183,0.00200086,6400.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO6400_sha1=9a5b7090ccf0de58f59ad992c6c1018aed81b2f2.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO6400_sha1=9a5b7090ccf0de58f59ad992c6c1018aed81b2f2.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO6400_sha1=9a5b7090ccf0de58f59ad992c6c1018aed81b2f2.raf_cfa.npy,0.01865028403699398,True
6,40.2786126816,41.831755014,0.94178223761,0.957834646302,1.0,0.0,-0.20000000298,0.0,1.0,-0.10000000149,0.000346361,0.339276,0.00356693,6400.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_GT_ISO200_sha1=30b8a0ab844d1268d9bc34e3d4369a9b8f674a18.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO6400_sha1=68f495f3c0346e29edff47a7974957dcfa703f3c.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO6400_sha1=68f495f3c0346e29edff47a7974957dcfa703f3c.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_yellowrock_ISO6400_sha1=68f495f3c0346e29edff47a7974957dcfa703f3c.raf_cfa.npy,0.013748669065535069,True
7,41.1588826624,41.1588826624,0.967876868262,0.967876868262,1.0,0.0,-0.0,0.0,1.0,-0.0,4.28614e-05,1.04124,0.00300573,800.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_GT_ISO200_sha1=33505fc508b8fc99076776cbb4607be31c13b0d2.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_GT_ISO200_sha1=33505fc508b8fc99076776cbb4607be31c13b0d2.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_ISO800_sha1=e60af88432898d547b5e05149a62272c4e57f539.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_ISO800_sha1=e60af88432898d547b5e05149a62272c4e57f539.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_ISO800_sha1=e60af88432898d547b5e05149a62272c4e57f539.raf_cfa.npy,0.0010551954619586468,False
8,41.460567409,41.460567409,0.962093885414,0.962093885414,1.0,0.0,-0.0,0.0,1.0,-0.0,-0.000536943,0.563093,0.00554558,4000.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_GT_ISO200_sha1=33505fc508b8fc99076776cbb4607be31c13b0d2.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_GT_ISO200_sha1=33505fc508b8fc99076776cbb4607be31c13b0d2.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_ISO4000_sha1=71f736ae41c2265739fbd6419fc3e709e9b94d43.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_ISO4000_sha1=71f736ae41c2265739fbd6419fc3e709e9b94d43.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_ISO4000_sha1=71f736ae41c2265739fbd6419fc3e709e9b94d43.raf_cfa.npy,0.00903694611042738,True
9,41.4409439149,41.4409439149,0.952464088678,0.952464088678,1.0,0.0,-0.0,0.0,1.0,-0.0,-0.00057733,0.362535,0.00560601,6400.0,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_GT_ISO200_sha1=33505fc508b8fc99076776cbb4607be31c13b0d2.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_GT_ISO200_sha1=33505fc508b8fc99076776cbb4607be31c13b0d2.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_ISO6400_sha1=2ae8efce6146c7943a10b9fe5a47516f8eb0db60.raf.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_ISO6400_sha1=2ae8efce6146c7943a10b9fe5a47516f8eb0db60.raf_ccm.npy,/media/ryan/261c34c8-0dab-44cc-b782-b79032390c41/home/ryan/Pictures/RAWNIND/numpy/X-Trans_MuseeL-pinklotus_ISO6400_sha1=2ae8efce6146c7943a10b9fe5a47516f8eb0db60.raf_cfa.npy,0.013233057223260403,True
